region,metric,atlas,labels
S_occipital_ant,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_occipital_ant
S_oc-temp_lat,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_oc-temp_lat
S_oc-temp_med_and_Lingual,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_oc-temp_med_and_Lingual
S_orbital_lateral,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_orbital_lateral
S_orbital_med-olfact,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_orbital_med-olfact
S_orbital-H_Shaped,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_orbital-H_Shaped
S_parieto_occipital,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_parieto_occipital
S_pericallosal,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_pericallosal
S_postcentral,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_postcentral
S_precentral-inf-part,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_precentral-inf-part
S_precentral-sup-part,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_precentral-sup-part
S_suborbital,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_suborbital
S_subparietal,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_subparietal
S_temporal_inf,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_temporal_inf
S_temporal_sup,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_temporal_sup
S_temporal_transverse,SurfArea,rh.aparc.a2009s,rh-SurfArea-S_temporal_transverse
G_and_S_frontomargin,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_frontomargin
G_and_S_occipital_inf,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_occipital_inf
G_and_S_paracentral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_paracentral
G_and_S_subcentral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_subcentral
G_and_S_transv_frontopol,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_transv_frontopol
G_and_S_cingul-Ant,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_cingul-Ant
G_and_S_cingul-Mid-Ant,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_cingul-Mid-Ant
G_and_S_cingul-Mid-Post,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_and_S_cingul-Mid-Post
G_cingul-Post-dorsal,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_cingul-Post-dorsal
G_cingul-Post-ventral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_cingul-Post-ventral
G_cuneus,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_cuneus
G_front_inf-Opercular,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_front_inf-Opercular
G_front_inf-Orbital,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_front_inf-Orbital
G_front_inf-Triangul,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_front_inf-Triangul
G_front_middle,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_front_middle
G_front_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_front_sup
G_Ins_lg_and_S_cent_ins,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_Ins_lg_and_S_cent_ins
G_insular_short,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_insular_short
G_occipital_middle,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_occipital_middle
G_occipital_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_occipital_sup
G_oc-temp_lat-fusifor,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_oc-temp_lat-fusifor
G_oc-temp_med-Lingual,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_oc-temp_med-Lingual
G_oc-temp_med-Parahip,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_oc-temp_med-Parahip
G_orbital,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_orbital
G_pariet_inf-Angular,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_pariet_inf-Angular
G_pariet_inf-Supramar,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_pariet_inf-Supramar
G_parietal_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_parietal_sup
G_postcentral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_postcentral
G_precentral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_precentral
G_precuneus,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_precuneus
G_rectus,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_rectus
G_subcallosal,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_subcallosal
G_temp_sup-G_T_transv,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temp_sup-G_T_transv
G_temp_sup-Lateral,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temp_sup-Lateral
G_temp_sup-Plan_polar,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temp_sup-Plan_polar
G_temp_sup-Plan_tempo,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temp_sup-Plan_tempo
G_temporal_inf,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temporal_inf
G_temporal_middle,GrayVol,rh.aparc.a2009s,rh-GrayVol-G_temporal_middle
Lat_Fis-ant-Horizont,GrayVol,rh.aparc.a2009s,rh-GrayVol-Lat_Fis-ant-Horizont
Lat_Fis-ant-Vertical,GrayVol,rh.aparc.a2009s,rh-GrayVol-Lat_Fis-ant-Vertical
Lat_Fis-post,GrayVol,rh.aparc.a2009s,rh-GrayVol-Lat_Fis-post
Pole_occipital,GrayVol,rh.aparc.a2009s,rh-GrayVol-Pole_occipital
Pole_temporal,GrayVol,rh.aparc.a2009s,rh-GrayVol-Pole_temporal
S_calcarine,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_calcarine
S_central,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_central
S_cingul-Marginalis,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_cingul-Marginalis
S_circular_insula_ant,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_circular_insula_ant
S_circular_insula_inf,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_circular_insula_inf
S_circular_insula_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_circular_insula_sup
S_collat_transv_ant,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_collat_transv_ant
S_collat_transv_post,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_collat_transv_post
S_front_inf,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_front_inf
S_front_middle,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_front_middle
S_front_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_front_sup
S_interm_prim-Jensen,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_interm_prim-Jensen
S_intrapariet_and_P_trans,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_intrapariet_and_P_trans
S_oc_middle_and_Lunatus,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_oc_middle_and_Lunatus
S_oc_sup_and_transversal,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_oc_sup_and_transversal
S_occipital_ant,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_occipital_ant
S_oc-temp_lat,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_oc-temp_lat
S_oc-temp_med_and_Lingual,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_oc-temp_med_and_Lingual
S_orbital_lateral,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_orbital_lateral
S_orbital_med-olfact,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_orbital_med-olfact
S_orbital-H_Shaped,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_orbital-H_Shaped
S_parieto_occipital,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_parieto_occipital
S_pericallosal,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_pericallosal
S_postcentral,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_postcentral
S_precentral-inf-part,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_precentral-inf-part
S_precentral-sup-part,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_precentral-sup-part
S_suborbital,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_suborbital
S_subparietal,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_subparietal
S_temporal_inf,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_temporal_inf
S_temporal_sup,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_temporal_sup
S_temporal_transverse,GrayVol,rh.aparc.a2009s,rh-GrayVol-S_temporal_transverse
G_and_S_frontomargin,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_frontomargin
G_and_S_occipital_inf,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_occipital_inf
G_and_S_paracentral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_paracentral
G_and_S_subcentral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_subcentral
G_and_S_transv_frontopol,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_transv_frontopol
G_and_S_cingul-Ant,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_cingul-Ant
G_and_S_cingul-Mid-Ant,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_cingul-Mid-Ant
G_and_S_cingul-Mid-Post,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_and_S_cingul-Mid-Post
G_cingul-Post-dorsal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_cingul-Post-dorsal
G_cingul-Post-ventral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_cingul-Post-ventral
G_cuneus,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_cuneus
G_front_inf-Opercular,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_front_inf-Opercular
G_front_inf-Orbital,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_front_inf-Orbital
G_front_inf-Triangul,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_front_inf-Triangul
G_front_middle,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_front_middle
G_front_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_front_sup
G_Ins_lg_and_S_cent_ins,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_Ins_lg_and_S_cent_ins
G_insular_short,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_insular_short
G_occipital_middle,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_occipital_middle
G_occipital_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_occipital_sup
G_oc-temp_lat-fusifor,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_oc-temp_lat-fusifor
G_oc-temp_med-Lingual,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_oc-temp_med-Lingual
G_oc-temp_med-Parahip,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_oc-temp_med-Parahip
G_orbital,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_orbital
G_pariet_inf-Angular,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_pariet_inf-Angular
G_pariet_inf-Supramar,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_pariet_inf-Supramar
G_parietal_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_parietal_sup
G_postcentral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_postcentral
G_precentral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_precentral
G_precuneus,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_precuneus
G_rectus,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_rectus
G_subcallosal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_subcallosal
G_temp_sup-G_T_transv,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temp_sup-G_T_transv
G_temp_sup-Lateral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temp_sup-Lateral
G_temp_sup-Plan_polar,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temp_sup-Plan_polar
G_temp_sup-Plan_tempo,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temp_sup-Plan_tempo
G_temporal_inf,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temporal_inf
G_temporal_middle,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-G_temporal_middle
Lat_Fis-ant-Horizont,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-Lat_Fis-ant-Horizont
Lat_Fis-ant-Vertical,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-Lat_Fis-ant-Vertical
Lat_Fis-post,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-Lat_Fis-post
Pole_occipital,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-Pole_occipital
Pole_temporal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-Pole_temporal
S_calcarine,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_calcarine
S_central,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_central
S_cingul-Marginalis,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_cingul-Marginalis
S_circular_insula_ant,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_circular_insula_ant
S_circular_insula_inf,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_circular_insula_inf
S_circular_insula_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_circular_insula_sup
S_collat_transv_ant,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_collat_transv_ant
S_collat_transv_post,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_collat_transv_post
S_front_inf,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_front_inf
S_front_middle,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_front_middle
S_front_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_front_sup
S_interm_prim-Jensen,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_interm_prim-Jensen
S_intrapariet_and_P_trans,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_intrapariet_and_P_trans
S_oc_middle_and_Lunatus,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_oc_middle_and_Lunatus
S_oc_sup_and_transversal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_oc_sup_and_transversal
S_occipital_ant,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_occipital_ant
S_oc-temp_lat,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_oc-temp_lat
S_oc-temp_med_and_Lingual,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_oc-temp_med_and_Lingual
S_orbital_lateral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_orbital_lateral
S_orbital_med-olfact,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_orbital_med-olfact
S_orbital-H_Shaped,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_orbital-H_Shaped
S_parieto_occipital,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_parieto_occipital
S_pericallosal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_pericallosal
S_postcentral,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_postcentral
S_precentral-inf-part,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_precentral-inf-part
S_precentral-sup-part,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_precentral-sup-part
S_suborbital,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_suborbital
S_subparietal,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_subparietal
S_temporal_inf,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_temporal_inf
S_temporal_sup,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_temporal_sup
S_temporal_transverse,ThickAvg,rh.aparc.a2009s,rh-ThickAvg-S_temporal_transverse
